instance , $E_1$   ,  $E_2$   ,  $E_3$   ,  $E_4$ , instance,    $E_1$   ,  $E_2$   ,  $E_3$   ,  $E_4$   
00    ,       -    ,  18.3    ,  16.0    ,  5.0   ,   54    ,       -    ,  59.0    ,  58.5    ,  5.7     
01    ,       -    ,  18.6    ,  15.9    ,  8.6   ,   55    ,    622.3   ,  118.9   ,  90.2    ,  11.1  
02    ,       -    ,  26.9    ,  17.9    ,  11.4  ,   56    ,    756.1   ,  71.4    ,  65.7    ,  13.5  
03    ,       -    ,  13.5    ,  19.4    ,  7.8   ,   57    ,    981.2   ,  74.7    ,  86.5    ,  8.6   
04    ,       -    ,     -    ,     -    ,     -  ,   58    ,       -    ,  82.5    ,  76.8    ,  11.1  
05    ,       -    ,  64.2    ,  50.5    ,  17.7  ,   59    ,       -    ,  129.7   ,  73.4    ,  11.4  
06    ,       -    ,  26.1    ,  19.6    ,  9.1   ,   60    ,       -    ,  96.2    ,  122.1   ,  6.0   
07    ,       -    ,  12.5    ,  8.9     ,  3.5   ,   61    ,    118.7   ,  66.8    ,  54.7    ,  5.7   
08    ,       -    ,  31.8    ,  18.0    ,  8.5   ,   62    ,       -    ,  111.6   ,  67.3    ,  5.9   
09    ,    92.5    ,  46.4    ,  40.3    ,  6.3   ,   63    ,    1042.3  ,  130.4   ,  140.9   ,  7.1   
10    ,    53.4    ,  58.0    ,  35.6    ,  5.2   ,   64    ,       -    ,  109.2   ,  106.0   ,  18.9  
11    ,    104.6   ,  62.2    ,  75.3    ,  6.0   ,   65    ,       -    ,  102.2   ,  87.6    ,  10.7  
12    ,    60.6    ,  68.7    ,  66.0    ,  5.7   ,   66    ,       -    ,  77.8    ,  125.3   ,  7.0   
13    ,    66.5    ,  88.6    ,  89.9    ,  3.0   ,   67    ,       -    ,  163.1   ,  131.8   ,  17.0  
14    ,    115.1   ,  46.6    ,  93.0    ,  6.3   ,   68    ,    508.3   ,  77.7    ,  64.8    ,  13.3  
15    ,    88.8    ,  59.2    ,  57.2    ,  5.9   ,   69    ,       -    ,  163.6   ,  54.9    ,  10.8  
16    ,    76.7    ,  101.4   ,  62.7    ,  5.6   ,   70    ,       -    ,  213.9   ,  111.4   ,  12.6  
17    ,    93.1    ,  69.1    ,  69.3    ,  6.0   ,   71    ,       -    ,  95.5    ,  119.8   ,  10.8  
18    ,    91.5    ,  40.9    ,  70.8    ,  5.4   ,   72    ,       -    ,  150.6   ,  140.8   ,  11.4  
19    ,    79.2    ,  38.2    ,  87.4    ,  6.4   ,   73    ,       -    ,  144.2   ,  108.0   ,  10.8  
20    ,    47.0    ,  58.7    ,  69.0    ,  5.5   ,   74    ,    122.8   ,  97.8    ,  54.1    ,  5.7   
21    ,    208.4   ,  65.5    ,  72.2    ,  6.6   ,   75    ,       -    ,  72.7    ,  76.1    ,  22.6  
22    ,    76.3    ,  77.5    ,  88.9    ,  5.9   ,   76    ,       -    ,  158.2   ,  101.4   ,  11.4  
23    ,    95.2    ,  86.9    ,  41.8    ,  6.8   ,   77    ,       -    ,  97.7    ,  49.9    ,  11.0  
24    ,    142.1   ,  78.0    ,  35.6    ,  6.1   ,   78    ,       -    ,  158.3   ,  92.4    ,  12.6  
25    ,    176.5   ,  55.3    ,  40.2    ,  10.2  ,   200_01,       -    ,  548.5   ,  202.4   ,  213.5 
26    ,    149.4   ,  77.2    ,  131.9   ,  5.5   ,   200_02,       -    ,     -    ,     -    ,     -  
27    ,    70.1    ,  77.7    ,  85.2    ,  7.7   ,   200_03,       -    ,     -    ,  159.8   ,  79.7  
28    ,    63.8    ,  39.3    ,  61.8    ,  7.6   ,   200_04,    95.0    ,  37.6    ,  42.9    ,  20.9  
29    ,    91.0    ,  65.5    ,  41.4    ,  10.8  ,   200_05,       -    ,  520.9   ,  449.3   ,  391.1 
30    ,    241.2   ,  34.2    ,  122.9   ,  9.6   ,   200_06,       -    ,     -    ,     -    ,     -  
31    ,    532.0   ,  59.7    ,  106.7   ,  6.5   ,   200_07,       -    ,  160.9   ,  390.6   ,  35.4  
32    ,    97.0    ,  61.4    ,  80.2    ,  5.9   ,   200_08,       -    ,     -    ,     -    ,     -  
33    ,    158.9   ,  61.3    ,  130.2   ,  6.5   ,   200_09,    76.6    ,  58.7    ,  125.3   ,  697.0 
34    ,    116.9   ,  112.7   ,  82.8    ,  6.1   ,   200_10,    33.6    ,  35.8    ,  77.4    ,  10.6  
35    ,    94.2    ,  74.8    ,  76.3    ,  6.7   ,   300_01,       -    ,     -    ,     -    ,  194.7 
36    ,    319.0   ,  55.2    ,  48.2    ,  5.5   ,   300_02,       -    ,     -    ,     -    ,     -  
37    ,    361.2   ,  127.7   ,  104.3   ,  6.7   ,   300_03,    615.0   ,     -    ,  653.3   ,  553.8 
38    ,    98.3    ,  62.5    ,  102.9   ,  6.0   ,   300_04,    81.6    ,  142.0   ,  73.3    ,  30.6  
39    ,    58.4    ,  106.9   ,  56.0    ,  6.0   ,   300_05,    60.7    ,  449.4   ,  752.7   ,  11.7  
40    ,    347.4   ,  69.3    ,  76.5    ,  6.2   ,   300_06,       -    ,     -    ,     -    ,     -  
41    ,    226.3   ,  94.6    ,  60.0    ,  6.9   ,   300_07,       -    ,     -    ,     -    ,  177.5 
42    ,    191.2   ,  60.9    ,  61.8    ,  6.2   ,   300_08,    275.8   ,  203.8   ,  280.6   ,  54.9  
43    ,    154.7   ,  146.0   ,  69.0    ,  6.9   ,   300_09,       -    ,     -    ,     -    ,     -  
44    ,    1287.8  ,  81.9    ,  102.1   ,  7.1   ,   300_10,    213.7   ,  259.3   ,  405.6   ,  22.0  
45    ,    123.0   ,  78.7    ,  101.5   ,  8.8   ,   400_01,       -    ,     -    ,     -    ,     -  
46    ,    282.7   ,  99.7    ,  71.3    ,  11.6  ,   400_02,       -    ,     -    ,     -    ,     -  
47    ,    900.7   ,  61.0    ,  85.0    ,  7.0   ,   400_03,       -    ,  1333.6  ,  926.3   ,  103.6 
48    ,    86.9    ,  58.8    ,  129.3   ,  6.7   ,   400_04,    790.9   ,  288.0   ,  205.6   ,  73.8  
49    ,    174.4   ,  91.8    ,  61.5    ,  10.1  ,   400_05,       -    ,     -    ,     -    ,  709.7 
50    ,    238.6   ,  62.0    ,  98.3    ,  10.8  ,   400_06,       -    ,     -    ,     -    ,  647.9 
51    ,    507.0   ,  47.5    ,  109.0   ,  7.0   ,   400_07,       -    ,     -    ,     -    ,     -  
52    ,    718.5   ,  89.4    ,  90.1    ,  6.1   ,   400_08,       -    ,     -    ,     -    ,     -  
53    ,    117.6   ,  65.5    ,  61.6    ,  7.0   ,   400_09,    535.4   ,  412.9   ,  640.4   ,  247.6 
                                                     
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
