name,    min, LING, sec 
200-01,  0  , SAT      , 189.9 
300-01,  0  , SAT      , 315.7 
400-01,  1  , ?  , -  
200-02,  2  , ?  , -  
300-02,  12  , ?  , -  
400-02,  16  , ?  , -  
200-03,  4  , UNSAT    , 70.2 
300-03,  13  , UNSAT    , 873.0
400-03,  9   , UNSAT    , 88.1 
200-04,  7  , UNSAT    , 19.7 
300-04,  7   , UNSAT    , 33.6 
400-04,  19  , UNSAT    , 83.2 
200-05,  6  , UNSAT    , 543.7 
300-05,  29  , UNSAT    , 9.7  
400-05,  0  , SAT      , 2146.1
200-06,  6  , ?  , - 
300-06,  2  , ?  , - 
400-06,  0  , SAT      , 605.4 
200-07,  0  , SAT      , 30.2 
300-07,  0  , SAT      , 122.6 
400-07,  4  , ?  , -  
200-08,  8  , ?  , -  
300-08,  8  , UNSAT    , 65.9 
400-08,  4  , ?  , -   
200-09,  10  , UNSAT    , 350.4 
300-09,  7  , ?  , -  
400-09,  5   , UNSAT    , 220.9 
200-10,  19  , UNSAT    , 9.9  
300-10,  21  , UNSAT    , 18.3 
400-10,  0  , SAT      , 468.1 
